input_store_id,1,2,3,4,5,6,7,8,9,10
327,14934,13205,12037,16694,10544,15863,15107,10148,2434,10200
329,16417,5269,3353,17274,14719,2212,1565,642,4358,14020
332,6351,7356,7098,15078,8100,3215,17761,9819,11237,3965
336,93,2652,4015,956,14042,3320,10678,7240,13361,8832
337,5439,2270,1043,12025,2303,6263,16484,11244,1273,2394
338,6000,14385,13381,8697,16314,6755,12108,8375,11414,8440
339,526,13911,8996,13045,17403,14597,8310,3915,7589,8524
340,6744,4186,10973,11503,8798,13419,5114,10022,15011,3595
341,192,14670,212,2050,10997,435,11016,14138,820,16569
342,14670,8838,7087,212,14958,13877,4153,1594,2204,224
348,18330,14483,10922,11190,7893,11888,7225,15087,6345,679
349,4974,3829,3995,7021,492,671,8832,11219,10670,18353
352,660,1776,9203,10427,2281,2761,621,7496,7072,1503
353,13188,4033,11811,14873,1938,9845,1529,9061,13081,1407
354,9713,5119,5394,14644,8273,6457,193,3387,3691,810
355,1126,14305,7866,2927,14177,1714,95,5511,7942,1486
356,4489,18036,6545,3122,2671,6280,15978,14811,6936,9501
357,4888,3957,8186,3890,1880,396,448,2600,1737,504
365,16172,7573,4992,3096,1756,14411,15233,4212,411,9467
366,2600,12119,6322,10934,10973,9931,5793,6384,18116,5204
367,2284,14124,13471,16279,14327,10733,11495,4020,15849,14149
368,1292,9340,2733,10066,6623,2167,211,9510,6355,14518
369,6379,22,9693,13103,8695,7745,6763,14138,11427,13020
370,8024,73,169,8697,12043,212,14518,10850,338,6686
373,6524,4454,17771,9575,11895,10813,10481,15748,7879,8665
374,17792,14399,16021,5420,7841,2475,15030,4093,16898,17839
375,8707,7841,5773,15905,17527,10852,8513,5420,11527,16898
377,3158,2334,2461,11978,16748,16241,5539,3851,13911,3178
378,11424,11016,11881,8758,694,233,2050,3032,1513,8302
379,13476,3964,17663,3004,10513,16610,15965,15326,6302,686
382,9144,3825,356,9992,6280,16101,5669,3122,18333,961
384,11426,14199,16182,14629,9242,16360,15441,16153,2188,17679
386,308,2774,13582,6087,15604,3255,8726,9010,36,8320
388,470,16627,8173,1944,10508,4674,16650,3457,11308,15233
389,892,2193,9064,12180,14143,1751,6158,16241,4823,5410
393,6673,11049,5977,6665,2320,14728,15403,4843,3177,9433
395,9747,7369,16166,1873,5709,6133,5885,3052,10816,136
